case_label,total_jobs,completed_jobs,failed_jobs,lost_jobs,job_id,payload_name,job_type,status,attempts,last_error,created_at,enqueued_at,dequeued_at,completed_at,failed_at
no_outage_error_rate_0,100,100,0,0,204004,job-0,noop,completed,1,,2026-02-22T02:09:05.898053Z,2026-02-22T02:09:05.898053Z,2026-02-22T02:09:06.246159Z,2026-02-22T02:09:07.054033Z,
no_outage_error_rate_0,100,100,0,0,204005,job-1,noop,completed,1,,2026-02-22T02:09:05.902122Z,2026-02-22T02:09:05.902122Z,2026-02-22T02:09:06.246999Z,2026-02-22T02:09:07.060002Z,
no_outage_error_rate_0,100,100,0,0,204006,job-2,noop,completed,1,,2026-02-22T02:09:05.906162Z,2026-02-22T02:09:05.906162Z,2026-02-22T02:09:06.24736Z,2026-02-22T02:09:07.059609Z,
no_outage_error_rate_0,100,100,0,0,204007,job-3,noop,completed,1,,2026-02-22T02:09:05.909594Z,2026-02-22T02:09:05.909594Z,2026-02-22T02:09:06.248264Z,2026-02-22T02:09:07.06017Z,
no_outage_error_rate_0,100,100,0,0,204008,job-4,noop,completed,1,,2026-02-22T02:09:05.913335Z,2026-02-22T02:09:05.913335Z,2026-02-22T02:09:06.248661Z,2026-02-22T02:09:07.060159Z,
no_outage_error_rate_0,100,100,0,0,204009,job-5,noop,completed,1,,2026-02-22T02:09:05.91995Z,2026-02-22T02:09:05.91995Z,2026-02-22T02:09:06.249126Z,2026-02-22T02:09:07.061221Z,
no_outage_error_rate_0,100,100,0,0,204010,job-6,noop,completed,1,,2026-02-22T02:09:05.922713Z,2026-02-22T02:09:05.922713Z,2026-02-22T02:09:06.249175Z,2026-02-22T02:09:07.056244Z,
no_outage_error_rate_0,100,100,0,0,204011,job-7,noop,completed,1,,2026-02-22T02:09:05.925243Z,2026-02-22T02:09:05.925243Z,2026-02-22T02:09:06.251963Z,2026-02-22T02:09:07.062159Z,
no_outage_error_rate_0,100,100,0,0,204012,job-8,noop,completed,1,,2026-02-22T02:09:05.927853Z,2026-02-22T02:09:05.927853Z,2026-02-22T02:09:07.061186Z,2026-02-22T02:09:07.865964Z,
no_outage_error_rate_0,100,100,0,0,204013,job-9,noop,completed,1,,2026-02-22T02:09:05.931163Z,2026-02-22T02:09:05.931163Z,2026-02-22T02:09:07.064455Z,2026-02-22T02:09:07.871257Z,
no_outage_error_rate_0,100,100,0,0,204014,job-10,noop,completed,1,,2026-02-22T02:09:05.934116Z,2026-02-22T02:09:05.934116Z,2026-02-22T02:09:07.0676Z,2026-02-22T02:09:07.874952Z,
no_outage_error_rate_0,100,100,0,0,204015,job-11,noop,completed,1,,2026-02-22T02:09:05.937197Z,2026-02-22T02:09:05.937197Z,2026-02-22T02:09:07.068391Z,2026-02-22T02:09:07.875442Z,
no_outage_error_rate_0,100,100,0,0,204016,job-12,noop,completed,1,,2026-02-22T02:09:05.940154Z,2026-02-22T02:09:05.940154Z,2026-02-22T02:09:07.06764Z,2026-02-22T02:09:07.873061Z,
no_outage_error_rate_0,100,100,0,0,204017,job-13,noop,completed,1,,2026-02-22T02:09:05.943817Z,2026-02-22T02:09:05.943817Z,2026-02-22T02:09:07.068022Z,2026-02-22T02:09:07.873316Z,
no_outage_error_rate_0,100,100,0,0,204018,job-14,noop,completed,1,,2026-02-22T02:09:05.947097Z,2026-02-22T02:09:05.947097Z,2026-02-22T02:09:07.068206Z,2026-02-22T02:09:07.877326Z,
no_outage_error_rate_0,100,100,0,0,204019,job-15,noop,completed,1,,2026-02-22T02:09:05.950581Z,2026-02-22T02:09:05.950581Z,2026-02-22T02:09:07.069125Z,2026-02-22T02:09:07.877326Z,
no_outage_error_rate_0,100,100,0,0,204020,job-16,noop,completed,1,,2026-02-22T02:09:05.953977Z,2026-02-22T02:09:05.953977Z,2026-02-22T02:09:07.869149Z,2026-02-22T02:09:08.674082Z,
no_outage_error_rate_0,100,100,0,0,204021,job-17,noop,completed,1,,2026-02-22T02:09:05.960302Z,2026-02-22T02:09:05.960302Z,2026-02-22T02:09:07.87737Z,2026-02-22T02:09:08.682444Z,
no_outage_error_rate_0,100,100,0,0,204022,job-18,noop,completed,1,,2026-02-22T02:09:05.962948Z,2026-02-22T02:09:05.962948Z,2026-02-22T02:09:07.879506Z,2026-02-22T02:09:08.684237Z,
no_outage_error_rate_0,100,100,0,0,204023,job-19,noop,completed,1,,2026-02-22T02:09:05.96572Z,2026-02-22T02:09:05.96572Z,2026-02-22T02:09:07.879913Z,2026-02-22T02:09:08.685802Z,
no_outage_error_rate_0,100,100,0,0,204024,job-20,noop,completed,1,,2026-02-22T02:09:05.968744Z,2026-02-22T02:09:05.968744Z,2026-02-22T02:09:07.881974Z,2026-02-22T02:09:08.688616Z,
no_outage_error_rate_0,100,100,0,0,204025,job-21,noop,completed,1,,2026-02-22T02:09:05.971876Z,2026-02-22T02:09:05.971876Z,2026-02-22T02:09:07.882548Z,2026-02-22T02:09:08.68749Z,
no_outage_error_rate_0,100,100,0,0,204026,job-22,noop,completed,1,,2026-02-22T02:09:05.975007Z,2026-02-22T02:09:05.975007Z,2026-02-22T02:09:07.886735Z,2026-02-22T02:09:08.693632Z,
no_outage_error_rate_0,100,100,0,0,204027,job-23,noop,completed,1,,2026-02-22T02:09:05.978211Z,2026-02-22T02:09:05.978211Z,2026-02-22T02:09:07.886735Z,2026-02-22T02:09:08.693632Z,
no_outage_error_rate_0,100,100,0,0,204028,job-24,noop,completed,1,,2026-02-22T02:09:05.983095Z,2026-02-22T02:09:05.983095Z,2026-02-22T02:09:08.676668Z,2026-02-22T02:09:09.481693Z,
no_outage_error_rate_0,100,100,0,0,204029,job-25,noop,completed,1,,2026-02-22T02:09:05.986483Z,2026-02-22T02:09:05.986483Z,2026-02-22T02:09:08.688431Z,2026-02-22T02:09:09.494906Z,
no_outage_error_rate_0,100,100,0,0,204030,job-26,noop,completed,1,,2026-02-22T02:09:05.990162Z,2026-02-22T02:09:05.990162Z,2026-02-22T02:09:08.690403Z,2026-02-22T02:09:09.498596Z,
no_outage_error_rate_0,100,100,0,0,204031,job-27,noop,completed,1,,2026-02-22T02:09:05.996571Z,2026-02-22T02:09:05.996571Z,2026-02-22T02:09:08.691724Z,2026-02-22T02:09:09.500268Z,
no_outage_error_rate_0,100,100,0,0,204032,job-28,noop,completed,1,,2026-02-22T02:09:05.99913Z,2026-02-22T02:09:05.99913Z,2026-02-22T02:09:08.694619Z,2026-02-22T02:09:09.5021Z,
no_outage_error_rate_0,100,100,0,0,204033,job-29,noop,completed,1,,2026-02-22T02:09:06.001766Z,2026-02-22T02:09:06.001766Z,2026-02-22T02:09:08.695879Z,2026-02-22T02:09:09.503151Z,
no_outage_error_rate_0,100,100,0,0,204034,job-30,noop,completed,1,,2026-02-22T02:09:06.004463Z,2026-02-22T02:09:06.004463Z,2026-02-22T02:09:08.70082Z,2026-02-22T02:09:09.507645Z,
no_outage_error_rate_0,100,100,0,0,204035,job-31,noop,completed,1,,2026-02-22T02:09:06.007527Z,2026-02-22T02:09:06.007527Z,2026-02-22T02:09:08.702312Z,2026-02-22T02:09:09.508653Z,
no_outage_error_rate_0,100,100,0,0,204036,job-32,noop,completed,1,,2026-02-22T02:09:06.01043Z,2026-02-22T02:09:06.01043Z,2026-02-22T02:09:09.488761Z,2026-02-22T02:09:10.293666Z,
no_outage_error_rate_0,100,100,0,0,204037,job-33,noop,completed,1,,2026-02-22T02:09:06.013762Z,2026-02-22T02:09:06.013762Z,2026-02-22T02:09:09.500516Z,2026-02-22T02:09:10.305708Z,
no_outage_error_rate_0,100,100,0,0,204038,job-34,noop,completed,1,,2026-02-22T02:09:06.017893Z,2026-02-22T02:09:06.017893Z,2026-02-22T02:09:09.503743Z,2026-02-22T02:09:10.311817Z,
no_outage_error_rate_0,100,100,0,0,204039,job-35,noop,completed,1,,2026-02-22T02:09:06.021263Z,2026-02-22T02:09:06.021263Z,2026-02-22T02:09:09.505607Z,2026-02-22T02:09:10.31654Z,
no_outage_error_rate_0,100,100,0,0,204040,job-36,noop,completed,1,,2026-02-22T02:09:06.024639Z,2026-02-22T02:09:06.024639Z,2026-02-22T02:09:09.507621Z,2026-02-22T02:09:10.315068Z,
